GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PriceTracker-app,com.kanbur.Price,CreateRecipeMenu.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
PriceTracker-app,com.kanbur.Price,CreateRecipeMenu.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
PriceTracker-app,com.kanbur.Price,CreateRecipeMenu.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
PriceTracker-app,com.kanbur.Price,CreateRecipeMenu.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
PriceTracker-app,com.kanbur.Price,CreateRecipeMenu.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
PriceTracker-app,com.kanbur.Price,CreateRecipeMenu.new InputMethodListener() {...},6,6,0,0,3,1,2,1,2,1
PriceTracker-app,com.kanbur.Price,CreateRecipeMenu.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
PriceTracker-app,com.kanbur.Price,CreateRecipeMenu.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
PriceTracker-app,com.kanbur.Price,CreateRecipeMenu.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
PriceTracker-app,com.kanbur.Price,DBFacaderRegister,30,97,1,7,6,30,1,7,0,4
PriceTracker-app,com.kanbur.Price,LERIngMenu,0,446,0,0,0,90,0,5,0,5
PriceTracker-app,com.kanbur.Price,CreateMealMenu.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
PriceTracker-app,com.kanbur.Price,DBFacadeAddIng,23,97,1,3,8,33,3,5,2,4
PriceTracker-app,com.kanbur.Price,IngredientMenu,0,336,0,0,0,68,0,2,0,2
PriceTracker-app,com.kanbur.Price,CreateMealMenu.new InputMethodListener() {...},6,6,0,0,3,1,2,1,2,1
PriceTracker-app,com.kanbur.Price,DBFacadeListMeal,3,74,0,2,2,18,0,3,0,2
PriceTracker-app,com.kanbur.Price,CreateMealMenu.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
PriceTracker-app,com.kanbur.Price,CreateMealMenu.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
PriceTracker-app,com.kanbur.Price,CreateMealMenu.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
PriceTracker-app,com.kanbur.Price,CreateMealMenu.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
PriceTracker-app,com.kanbur.Price,CreateMealMenu.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
PriceTracker-app,com.kanbur.Price,CreateMealMenu.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
PriceTracker-app,com.kanbur.Price,CreateMealMenu.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
PriceTracker-app,com.kanbur.Price,RemoveMealMenu,0,435,0,0,0,68,0,5,0,5
PriceTracker-app,com.kanbur.Price,ListRecipeMenu.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
PriceTracker-app,com.kanbur.Price,ListRecipeMenu.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
PriceTracker-app,com.kanbur.Price,DBConnection,15,35,1,5,4,14,1,6,0,4
PriceTracker-app,com.kanbur.Price,LoginMenu.new KeyAdapter() {...},5,6,0,0,2,1,1,1,1,1
PriceTracker-app,com.kanbur.Price,RemoveRecipeMenu.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
PriceTracker-app,com.kanbur.Price,LoginMenu.new KeyAdapter() {...},5,6,0,0,2,1,1,1,1,1
PriceTracker-app,com.kanbur.Price,LoginMenu.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
PriceTracker-app,com.kanbur.Price,RecipeMenu.new MouseAdapter() {...},11,6,0,0,4,1,1,1,1,1
PriceTracker-app,com.kanbur.Price,LoginMenu.new MouseAdapter() {...},5,6,0,0,2,1,1,1,1,1
PriceTracker-app,com.kanbur.Price,ListRecipeMenu,0,427,0,0,0,68,0,4,0,4
PriceTracker-app,com.kanbur.Price,LoginMenu.new ActionListener() {...},1,6,0,0,1,1,1,1,1,1
PriceTracker-app,com.kanbur.Price,LoginMenu.new MouseAdapter() {...},0,16,0,0,0,3,0,2,0,2
PriceTracker-app,com.kanbur.Price,RemoveRecipeMenu.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
PriceTracker-app,com.kanbur.Price,RemoveRecipeMenu.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
PriceTracker-app,com.kanbur.Price,RecipeMenu.new ActionListener() {...},1,6,0,0,1,1,1,1,1,1
PriceTracker-app,com.kanbur.Price,RecipeMenu.new MouseAdapter() {...},0,20,0,0,0,6,0,2,0,2
PriceTracker-app,com.kanbur.Price,PlanMealMenu,0,370,0,0,0,72,0,2,0,2
PriceTracker-app,com.kanbur.Price,ListMealMenu,0,420,0,0,0,67,0,4,0,4
PriceTracker-app,com.kanbur.Price,RecipeMenu.new MouseAdapter() {...},0,17,0,0,0,5,0,2,0,2
PriceTracker-app,com.kanbur.Price,RecipeMenu.new ActionListener() {...},1,6,0,0,1,1,1,1,1,1
PriceTracker-app,com.kanbur.Price,RecipeMenu.new ActionListener() {...},1,6,0,0,1,1,1,1,1,1
PriceTracker-app,com.kanbur.Price,RecipeMenu.new MouseAdapter() {...},0,17,0,0,0,5,0,2,0,2
PriceTracker-app,com.kanbur.Price,CreateRecipeMenu,13,1794,0,0,7,131,4,7,4,7
PriceTracker-app,com.kanbur.Price,DBFacadeListRecipe,8,77,1,3,3,20,1,3,0,2
PriceTracker-app,com.kanbur.Price,IngredientMenu.new ActionListener() {...},1,6,0,0,1,1,1,1,1,1
PriceTracker-app,com.kanbur.Price,IngredientMenu.new MouseAdapter() {...},11,6,0,0,4,1,1,1,1,1
PriceTracker-app,com.kanbur.Price,IngredientMenu.new ActionListener() {...},1,6,0,0,1,1,1,1,1,1
PriceTracker-app,com.kanbur.Price,PswrdValidObserver,6,33,0,2,4,11,2,4,2,3
PriceTracker-app,com.kanbur.Price,RemoveMealMenu.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
PriceTracker-app,com.kanbur.Price,IngredientMenu.new MouseAdapter() {...},0,17,0,0,0,5,0,2,0,2
PriceTracker-app,com.kanbur.Price,RegisterMenu.new ActionListener() {...},1,6,0,0,1,1,1,1,1,1
PriceTracker-app,com.kanbur.Price,RemoveMealMenu.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
PriceTracker-app,com.kanbur.Price,DBFacadeLogin,14,32,0,0,3,10,0,2,0,2
PriceTracker-app,com.kanbur.Price,DBFacadeRemoveMeal,19,132,1,3,7,36,1,5,0,4
PriceTracker-app,com.kanbur.Price,IngredientMenu.new ActionListener() {...},1,6,0,0,1,1,1,1,1,1
PriceTracker-app,com.kanbur.Price,RemoveMealMenu.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
PriceTracker-app,com.kanbur.Price,IngredientMenu.new MouseAdapter() {...},0,20,0,0,0,6,0,2,0,2
PriceTracker-app,com.kanbur.Price,RegisterMenu.new MouseAdapter() {...},5,6,0,0,2,1,1,1,1,1
PriceTracker-app,com.kanbur.Price,RegisterMenu.new KeyAdapter() {...},5,6,0,0,2,1,1,1,1,1
PriceTracker-app,com.kanbur.Price,RegisterMenu.new MouseAdapter() {...},8,33,0,0,2,6,0,2,0,2
PriceTracker-app,com.kanbur.Price,RegisterMenu.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
PriceTracker-app,com.kanbur.Price,AddIngredientMenu,0,458,2,6,0,98,2,8,0,6
PriceTracker-app,com.kanbur.Price,DBFacadeRemoveRecipe,19,132,1,3,7,37,1,5,0,4
PriceTracker-app,com.kanbur.Price,DBFacadeLERIng,76,246,10,8,18,62,7,8,0,6
PriceTracker-app,com.kanbur.Price,LERIngMenu.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
PriceTracker-app,com.kanbur.Price,LERIngMenu.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
PriceTracker-app,com.kanbur.Price,LERIngMenu.new MouseAdapter() {...},0,11,0,0,0,3,0,2,0,2
PriceTracker-app,com.kanbur.Price,LERIngMenu.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
PriceTracker-app,com.kanbur.Price,RegisterMenu,2,439,0,0,2,84,2,3,2,3
PriceTracker-app,com.kanbur.Price,CreateMealMenu,3,1802,0,0,3,135,3,8,3,8
PriceTracker-app,com.kanbur.Price,RecipeMenu,0,370,0,0,0,72,0,2,0,2
PriceTracker-app,com.kanbur.Price,DBFacadeCreateRecipe,95,458,8,26,24,99,8,20,1,10
PriceTracker-app,com.kanbur.Price,MainMenu,17,456,1,1,7,93,2,7,1,7
PriceTracker-app,com.kanbur.Price,PlanMealMenu.new MouseAdapter() {...},11,6,0,0,4,1,1,1,1,1
PriceTracker-app,com.kanbur.Price,PlanMealMenu.new MouseAdapter() {...},0,17,0,0,0,5,0,2,0,2
PriceTracker-app,com.kanbur.Price,PlanMealMenu.new ActionListener() {...},1,6,0,0,1,1,1,1,1,1
PriceTracker-app,com.kanbur.Price,PlanMealMenu.new ActionListener() {...},1,6,0,0,1,1,1,1,1,1
PriceTracker-app,com.kanbur.Price,PlanMealMenu.new MouseAdapter() {...},0,17,0,0,0,5,0,2,0,2
PriceTracker-app,com.kanbur.Price,PlanMealMenu.new ActionListener() {...},1,6,0,0,1,1,1,1,1,1
PriceTracker-app,com.kanbur.Price,PlanMealMenu.new MouseAdapter() {...},0,20,0,0,0,6,0,2,0,2
PriceTracker-app,com.kanbur.Price,ListMealMenu.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
PriceTracker-app,com.kanbur.Price,ListMealMenu.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
PriceTracker-app,com.kanbur.Price,MainMenu.new MouseAdapter() {...},0,11,0,0,0,3,0,2,0,2
PriceTracker-app,com.kanbur.Price,LoginMenu,31,419,1,1,11,87,3,8,2,8
PriceTracker-app,com.kanbur.Price,MainMenu.new MouseAdapter() {...},0,11,0,0,0,3,0,2,0,2
PriceTracker-app,com.kanbur.Price,RemoveRecipeMenu,0,435,0,0,0,68,0,5,0,5
PriceTracker-app,com.kanbur.Price,MainMenu.new MouseAdapter() {...},0,11,0,0,0,3,0,2,0,2
PriceTracker-app,com.kanbur.Price,MainMenu.new MouseAdapter() {...},0,11,0,0,0,3,0,2,0,2
PriceTracker-app,com.kanbur.Price,MainMenu.new MouseAdapter() {...},5,6,0,0,2,1,1,1,1,1
PriceTracker-app,com.kanbur.Price,AddIngredientMenu.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
PriceTracker-app,com.kanbur.Price,DBFacadeCreateMeal,52,470,9,25,12,108,9,17,0,9
PriceTracker-app,com.kanbur.Price,AddIngredientMenu.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
PriceTracker-app,com.kanbur.Price,AddIngredientMenu.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
PriceTracker-app,com.kanbur.Price,AddIngredientMenu.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
